FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_fruit,p_have_no_fruit,p_have_vegetables,p_have_no_vegetables
20,Kansas,5755,14666,786,19308,2022,18010,2011,0.2818177366436511,0.7181822633563488,0.9608838459241564,0.03911615407584353,0.8990615015974441,0.1009384984025559
21,Kentucky,3676,6985,480,9567,1109,8928,2011,0.3448081793452772,0.6551918206547228,0.9522245446401911,0.0477754553598089,0.8895088173757099,0.11049118262429013
22,Louisiana,3372,7387,588,9882,1237,9247,2011,0.31341202714006877,0.6865879728599312,0.9438395415472779,0.056160458452722065,0.8820106829454407,0.11798931705455933
23,Maine,4407,8572,459,12357,727,12067,2011,0.33954850142537946,0.6604514985746205,0.964185393258427,0.03581460674157303,0.943176488979209,0.056823511020790994
24,Maryland,2903,7032,360,9286,457,9174,2011,0.2921992954202315,0.7078007045797685,0.9626788306033589,0.037321169396641096,0.9525490603260305,0.047450939673969475
25,Massachusetts,6998,14751,868,19796,1388,19241,2011,0.3217619200882799,0.67823807991172,0.9579945799457995,0.04200542005420054,0.9327160793058316,0.0672839206941684
26,Michigan,3633,7282,324,10436,765,9983,2011,0.33284470911589553,0.6671552908841044,0.9698884758364312,0.030111524163568774,0.9288239672497208,0.07117603275027912
27,Minnesota,4671,10389,347,14290,1146,13465,2011,0.3101593625498008,0.6898406374501992,0.976292956206873,0.023707043793127006,0.9215659434672507,0.0784340565327493
28,Mississippi,2687,6067,532,7979,950,7537,2011,0.3069453963902216,0.6930546036097784,0.9374926565620961,0.06250734343790389,0.8880640980322847,0.11193590196771533
29,Missouri,1882,4420,300,5804,623,5473,2011,0.2986353538559188,0.7013646461440812,0.9508519003931848,0.0491480996068152,0.8978018372703412,0.10219816272965879
30,Montana,3240,6842,375,9436,915,8873,2011,0.3213648085697282,0.6786351914302717,0.9617775965752726,0.038222403424727346,0.9065181855333061,0.09348181446669392
31,Nebraska,7425,17611,902,23549,3070,21289,2011,0.29657293497363796,0.703427065026362,0.9631098932558996,0.03689010674410045,0.8739685537173119,0.12603144628268811
32,Nevada,1731,3675,211,4943,328,4799,2011,0.3201997780244173,0.6798002219755827,0.9590609235545208,0.04093907644547924,0.9360249658669787,0.06397503413302126
