FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_alcohol,p_have_no_alcohol,p_smoker,p_no_smoker
15,Hawaii,2081,5453,3588,3655,6540,1038,2011,0.27621449429254047,0.7237855057074595,0.5046251553223803,0.4953748446776198,0.1369754552652415,0.8630245447347585
16,Idaho,1990,3990,3116,2513,5201,855,2011,0.33277591973244147,0.6672240802675585,0.44643808847042105,0.553561911529579,0.14118229854689565,0.8588177014531043
17,Illinois,1973,3465,2248,2960,4584,889,2011,0.36281721221037144,0.6371827877896286,0.5683563748079877,0.43164362519201227,0.16243376575918145,0.8375662342408186
18,Indiana,2786,5463,4142,3607,6698,1746,2011,0.3377379076251667,0.6622620923748334,0.4654794166989289,0.5345205833010711,0.20677404073898625,0.7932259592610137
19,Iowa,1922,5323,3031,3880,6145,1182,2011,0.2652864044168392,0.7347135955831609,0.5614238171031689,0.43857618289683115,0.1613211409853965,0.8386788590146035
20,Kansas,5755,14666,10667,9224,17069,3547,2011,0.2818177366436511,0.7181822633563488,0.46372731386053995,0.5362726861394601,0.17205083430345364,0.8279491656965464
21,Kentucky,3676,6985,6665,3206,8299,2528,2011,0.3448081793452772,0.6551918206547228,0.3247897882686658,0.6752102117313342,0.23349034820356515,0.7665096517964348
22,Louisiana,3372,7387,6002,4270,8723,2174,2011,0.31341202714006877,0.6865879728599312,0.4156931464174455,0.5843068535825545,0.19950445076626594,0.800495549233734
23,Maine,4407,8572,5337,7187,10947,2219,2011,0.33954850142537946,0.6604514985746205,0.57385819227084,0.42614180772916,0.16854017924958226,0.8314598207504177
24,Maryland,2903,7032,4183,5196,8584,1477,2011,0.2921992954202315,0.7078007045797685,0.5540036251199488,0.44599637488005117,0.14680449259516948,0.8531955074048305
25,Massachusetts,6998,14751,7970,11816,18513,3637,2011,0.3217619200882799,0.67823807991172,0.5971899322753462,0.4028100677246538,0.16419864559819414,0.8358013544018059
26,Michigan,3633,7282,4694,5890,9002,2000,2011,0.33284470911589553,0.6671552908841044,0.5565003779289494,0.44349962207105065,0.18178512997636792,0.818214870023632
27,Minnesota,4671,10389,5198,9072,12840,2479,2011,0.3101593625498008,0.6898406374501992,0.635739313244569,0.364260686755431,0.1618251844115151,0.8381748155884848
28,Mississippi,2687,6067,5556,2771,7123,1752,2011,0.3069453963902216,0.6930546036097784,0.33277290740963134,0.6672270925903687,0.19740845070422536,0.8025915492957747
29,Missouri,1882,4420,3250,2724,5022,1365,2011,0.2986353538559188,0.7013646461440812,0.45597589554737195,0.544024104452628,0.21371535932362612,0.7862846406763739
30,Montana,3240,6842,4129,5412,8358,1867,2011,0.3213648085697282,0.6786351914302717,0.5672361387695211,0.432763861230479,0.18259168704156478,0.8174083129584352
31,Nebraska,7425,17611,10565,13341,21119,4205,2011,0.29657293497363796,0.703427065026362,0.5580607378900695,0.44193926210993056,0.16604801769072816,0.8339519823092718
32,Nevada,1731,3675,1972,2866,4385,1083,2011,0.3201997780244173,0.6798002219755827,0.5923935510541546,0.4076064489458454,0.19806144842721288,0.8019385515727872
33,New Hampshire,2001,4260,2203,3831,5362,965,2011,0.319597508385242,0.6804024916147581,0.6349022207490885,0.3650977792509115,0.1525209419946262,0.8474790580053738
34,New Jersey,4553,10180,5492,8193,13001,2278,2011,0.309034141043915,0.690965858956085,0.5986846912678114,0.4013153087321885,0.1490935270632895,0.8509064729367105
35,New Mexico,2962,6320,4463,4123,7723,1665,2011,0.31911226028873085,0.6808877397112691,0.4802003261122758,0.5197996738877242,0.17735406902428633,0.8226459309757137
36,New York,2602,4900,2756,4240,6456,1213,2011,0.34684084244201546,0.6531591575579845,0.6060606060606061,0.3939393939393939,0.15816925283609337,0.8418307471639066
37,North Carolina,3299,8019,6084,4520,9481,2020,2011,0.2914825940978972,0.7085174059021029,0.42625424368162956,0.5737457563183704,0.17563690113903138,0.8243630988609686
38,North Dakota,1528,3666,1997,2923,4416,861,2011,0.29418559876780903,0.705814401232191,0.5941056910569106,0.4058943089430894,0.16316088686753838,0.8368391131324616
39,Ohio,3175,6567,4458,4775,7887,1996,2011,0.32590843769246564,0.6740915623075344,0.5171666847178599,0.48283331528214013,0.201962966710513,0.798037033289487
40,Oklahoma,2807,5579,5094,3074,6651,1857,2011,0.3347245409015025,0.6652754590984975,0.3763467189030362,0.6236532810969637,0.21826516220028208,0.7817348377997179
41,Oregon,2038,4085,2342,3333,5232,985,2011,0.3328433774293647,0.6671566225706353,0.5873127753303965,0.4126872246696035,0.15843654495737494,0.8415634550426251
42,Pennsylvania,3895,7339,4842,5665,9193,2235,2011,0.3467153284671533,0.6532846715328468,0.5391643666127344,0.46083563338726563,0.1955722786139307,0.8044277213860693
44,Rhode Island,2226,4212,2345,3761,5438,1054,2011,0.34575955265610436,0.6542404473438956,0.6159515230920406,0.3840484769079594,0.16235366605052373,0.8376463339494763
45,South Carolina,3934,8653,6710,5227,10496,2367,2011,0.312544688964805,0.6874553110351951,0.43788221496188323,0.5621177850381168,0.1840161704112571,0.8159838295887429
46,South Dakota,2074,6055,3698,4176,6750,1480,2011,0.25513593307909954,0.7448640669209005,0.5303530607061214,0.4696469392938786,0.1798298906439854,0.8201701093560145
47,Tennessee,1445,4342,4016,1346,4753,1140,2011,0.2496975980646276,0.7503024019353723,0.2510257366654233,0.7489742633345766,0.19344985576107246,0.8065501442389276
48,Texas,4484,10044,7263,6531,12689,2175,2011,0.3086453744493392,0.6913546255506607,0.4734667246628969,0.526533275337103,0.14632669537136705,0.8536733046286329
49,Utah,4418,8052,8558,3336,11351,1272,2011,0.35429029671210904,0.6457097032878909,0.2804775517067429,0.7195224482932571,0.10076843856452507,0.8992315614354749
50,Vermont,2318,4656,2558,4232,6057,996,2011,0.3323774017780327,0.6676225982219673,0.6232695139911635,0.3767304860088365,0.14121650361548277,0.8587834963845172
51,Virginia,1832,4615,2959,3083,5424,1138,2011,0.28416317667132,0.71583682332868,0.5102615028136379,0.48973849718636214,0.17342273697043584,0.8265772630295641
53,Washington,4592,9951,6031,8251,12687,1996,2011,0.3157532833665681,0.6842467166334318,0.5777202072538861,0.422279792746114,0.13593952189607028,0.8640604781039297
54,West Virginia,1693,3503,3739,1429,4007,1256,2011,0.3258275596612779,0.6741724403387221,0.27650928792569657,0.7234907120743034,0.23864715941478246,0.7613528405852176
55,Wisconsin,1628,3611,1699,2979,4344,942,2011,0.3107463256346631,0.6892536743653369,0.6368106028217186,0.3631893971782813,0.1782065834279228,0.8217934165720772
56,Wyoming,2161,4587,2934,3463,5591,1249,2011,0.3202430349733254,0.6797569650266746,0.5413475066437392,0.45865249335626074,0.18260233918128654,0.8173976608187135
66,Guam,462,1395,1054,687,1376,501,2011,0.24878836833602586,0.7512116316639742,0.39460080413555426,0.6053991958644457,0.2669152903569526,0.7330847096430474
72,Puerto Rico,1463,5073,4658,1783,5918,689,2011,0.2238372093023256,0.7761627906976745,0.2768203695078404,0.7231796304921596,0.1042833358559104,0.8957166641440896
1,Alabama,2385,5102,5375,2082,6202,1422,2010,0.3185521570722586,0.6814478429277414,0.27920075097224084,0.7207992490277592,0.18651626442812172,0.8134837355718783
2,Alaska,603,1287,897,985,1550,395,2010,0.319047619047619,0.680952380952381,0.5233793836344315,0.4766206163655685,0.20308483290488433,0.7969151670951157
4,Arizona,1805,3884,3053,2573,4923,806,2010,0.3172789593953243,0.6827210406046756,0.45734091717028086,0.5426590828297192,0.14068772909757374,0.8593122709024262
5,Arkansas,1219,2701,2659,1301,3278,723,2010,0.310969387755102,0.6890306122448979,0.3285353535353535,0.6714646464646464,0.18070482379405148,0.8192951762059485
6,California,6333,11327,7673,9116,15095,1842,2010,0.3586070215175538,0.6413929784824463,0.5429745666805647,0.45702543331943535,0.10875597803625199,0.891244021963748
8,Colorado,3613,7883,4859,6093,9930,1652,2010,0.31428322894919974,0.6857167710508003,0.5563367421475529,0.44366325785244703,0.1426351234674495,0.8573648765325506
9,Connecticut,2125,4553,2720,3881,5930,793,2010,0.31820904462413896,0.681790955375861,0.5879412210271171,0.4120587789728829,0.11795329466012197,0.8820467053398781
