FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year,p_have_mentalhealth,p_have_no_mentalhealth,p_workout,p_no_workout
51,Virginia,2327,6169,2075,6039,2015,0.2738935969868173,0.7261064030131826,0.7442691644071975,0.2557308355928026
53,Washington,5236,10650,2849,12164,2015,0.3295983885181921,0.6704016114818079,0.810231133018051,0.18976886698194897
54,West Virginia,1880,3982,1769,3943,2015,0.3207096554077107,0.6792903445922893,0.6903011204481793,0.30969887955182074
55,Wisconsin,1975,4160,1290,4244,2015,0.32192339038304807,0.6780766096169519,0.7668955547524394,0.23310444524756052
56,Wyoming,1505,3893,1406,3634,2015,0.2788069655427936,0.7211930344572064,0.721031746031746,0.278968253968254
66,Guam,520,1143,470,1044,2015,0.3126879134095009,0.6873120865904991,0.6895640686922061,0.3104359313077939
72,Puerto Rico,1179,4183,2641,2660,2015,0.21988064155165982,0.7801193584483401,0.5017921146953405,0.4982078853046595
1,Alabama,2906,5568,2583,6056,2014,0.34293131932971443,0.6570686806702856,0.7010070610024308,0.2989929389975692
2,Alaska,1358,2933,815,3563,2014,0.3164763458401305,0.6835236541598695,0.8138419369575148,0.18615806304248517
4,Arizona,4180,10453,3345,11484,2014,0.2856557096972596,0.7143442903027404,0.774428484725875,0.22557151527412503
5,Arkansas,1559,3566,1832,3418,2014,0.3041951219512195,0.6958048780487804,0.6510476190476191,0.34895238095238096
6,California,2987,5771,1637,6185,2014,0.34105960264900664,0.6589403973509934,0.7907184863206341,0.2092815136793659
8,Colorado,4134,9053,2252,11131,2014,0.31349055888374916,0.6865094411162509,0.8317268176044236,0.16827318239557648
9,Connecticut,2428,5410,1657,6286,2014,0.309772901250319,0.690227098749681,0.7913886440891351,0.2086113559108649
10,Delaware,1162,3041,1153,3140,2014,0.2764691886747561,0.7235308113252439,0.7314232471465176,0.2685767528534824
11,District of Columbia,1099,2894,849,3210,2014,0.27523165539694466,0.7247683446030554,0.7908351810790836,0.20916481892091648
12,Florida,2773,6771,2403,7393,2014,0.2905490360435876,0.7094509639564124,0.754695794201715,0.24530420579828502
13,Georgia,1974,4267,1656,4691,2014,0.3162954654702772,0.6837045345297228,0.7390893335434063,0.26091066645659367
15,Hawaii,2017,5176,1430,5815,2014,0.2804115111914361,0.7195884888085639,0.8026224982746721,0.1973775017253278
16,Idaho,1744,3622,1131,4337,2014,0.3250093179276929,0.6749906820723072,0.7931602048280907,0.20683979517190929
17,Illinois,1732,3279,1205,3845,2014,0.3456395928956296,0.6543604071043704,0.7613861386138614,0.2386138613861386
18,Indiana,3657,7599,3201,8309,2014,0.32489339019189767,0.6751066098081023,0.7218940052128584,0.2781059947871416
19,Iowa,2196,5811,2045,6076,2014,0.2742600224803297,0.7257399775196703,0.7481837212165989,0.25181627878340107
20,Kansas,3650,9850,3490,10237,2014,0.27037037037037037,0.7296296296296296,0.7457565382093684,0.2542434617906316
21,Kentucky,3417,7605,3563,7626,2014,0.31001633097441483,0.6899836690255852,0.6815622486370543,0.3184377513629458
22,Louisiana,2115,4529,2110,4662,2014,0.3183323299217339,0.6816676700782661,0.6884229178972239,0.3115770821027761
23,Maine,2983,5963,1941,7177,2014,0.333445115135256,0.666554884864744,0.7871243693792498,0.21287563062075016
24,Maryland,3672,8686,2868,9688,2014,0.2971354588121055,0.7028645411878944,0.7715833067856005,0.2284166932143995
25,Massachusetts,4915,10416,3415,12217,2014,0.32059226404018004,0.67940773595982,0.7815378710337769,0.21846212896622313
26,Michigan,2749,5587,2065,6390,2014,0.32977447216890593,0.670225527831094,0.755765819041987,0.244234180958013
27,Minnesota,4638,11551,3323,13072,2014,0.28649082710482426,0.7135091728951758,0.7973162549557792,0.2026837450442208
28,Mississippi,1131,2993,1396,2807,2014,0.27424830261881666,0.7257516973811833,0.6678562931239591,0.33214370687604095
29,Missouri,2049,4921,2033,5043,2014,0.293974175035868,0.706025824964132,0.7126907857546636,0.28730921424533634
30,Montana,2078,5283,1653,5840,2014,0.282298600733596,0.717701399266404,0.7793941011610837,0.22060589883891632
31,Nebraska,5764,16368,5557,16840,2014,0.26043737574552683,0.7395626242544732,0.751886413358932,0.248113586641068
32,Nevada,1230,2458,844,2910,2014,0.3335140997830803,0.6664859002169198,0.7751731486414492,0.22482685135855088
33,New Hampshire,1768,4323,1319,4855,2014,0.2902643244130685,0.7097356755869315,0.7863621639131844,0.2136378360868157
34,New Jersey,3795,9000,3134,9891,2014,0.2966002344665885,0.7033997655334114,0.7593857965451055,0.24061420345489443
35,New Mexico,2626,6206,2101,6826,2014,0.2973278985507246,0.7026721014492754,0.7646465777976924,0.2353534222023076
36,New York,2200,4473,1723,5122,2014,0.32968679754233476,0.6703132024576652,0.7482834185536889,0.25171658144631115
37,North Carolina,2068,5114,1788,5493,2014,0.2879420774157616,0.7120579225842384,0.7544293366295839,0.24557066337041616
38,North Dakota,2034,5601,1824,5940,2014,0.26640471512770136,0.7335952848722986,0.7650695517774343,0.23493044822256567
39,Ohio,3504,7204,3067,7837,2014,0.32723197609264104,0.672768023907359,0.7187270726338958,0.2812729273661042
40,Oklahoma,2538,5800,2659,5785,2014,0.3043895418565603,0.6956104581434397,0.685101847465656,0.3148981525343439
41,Oregon,1824,3313,895,4319,2014,0.3550710531438583,0.6449289468561418,0.8283467587265055,0.17165324127349443
42,Pennsylvania,3461,7283,2786,8191,2014,0.32213328369322414,0.6778667163067759,0.7461965928760135,0.2538034071239865
44,Rhode Island,1947,4396,1586,4850,2014,0.3069525461138263,0.6930474538861737,0.7535736482287135,0.24642635177128652
45,South Carolina,3393,7406,2922,8087,2014,0.3141957588665617,0.6858042411334383,0.7345807975292942,0.2654192024707058
46,South Dakota,1772,5532,1631,5768,2014,0.24260679079956188,0.7573932092004381,0.7795648060548723,0.22043519394512773
47,Tennessee,1555,3477,1616,3523,2014,0.30902225755166934,0.6909777424483307,0.6855419342284491,0.3144580657715509
48,Texas,3993,11016,4262,11132,2014,0.26604037577453526,0.7339596242254647,0.7231388852799792,0.2768611147200208
49,Utah,5187,9665,2550,12443,2014,0.3492458928090493,0.6507541071909507,0.8299206296271593,0.17007937037284065
50,Vermont,2044,4357,1232,5226,2014,0.3193251054522731,0.6806748945477269,0.809228863425209,0.19077113657479094
51,Virginia,2467,6845,2330,7122,2014,0.2649269759450172,0.7350730240549829,0.7534913245873889,0.2465086754126111
53,Washington,3254,6710,1804,8270,2014,0.32657567242071456,0.6734243275792854,0.8209251538614255,0.17907484613857455
54,West Virginia,1948,4149,1822,4368,2014,0.3195013941282598,0.6804986058717402,0.705654281098546,0.29434571890145395
55,Wisconsin,2169,4826,1554,5482,2014,0.3100786275911365,0.6899213724088634,0.7791358726549176,0.22086412734508243
56,Wyoming,1671,4633,1696,4700,2014,0.2650697969543147,0.7349302030456852,0.7348342714196373,0.26516572858036275
66,Guam,798,1699,656,1862,2014,0.3195835002002403,0.6804164997997597,0.7394757744241461,0.26052422557585386
72,Puerto Rico,1258,4679,2517,3471,2014,0.21189152770759642,0.7881084722924036,0.5796593186372746,0.42034068136272545
1,Alabama,2131,4203,2077,4087,2013,0.3364382696558257,0.6635617303441743,0.6630434782608695,0.33695652173913043
2,Alaska,1426,3079,981,3294,2013,0.3165371809100999,0.6834628190899001,0.7705263157894737,0.2294736842105263
4,Arizona,1314,2866,1048,2862,2013,0.31435406698564594,0.6856459330143541,0.7319693094629156,0.2680306905370844
5,Arkansas,1616,3523,1777,3094,2013,0.3144580657715509,0.6855419342284491,0.6351878464381031,0.36481215356189695
